Age,Experience_Years,Work_Hours_Per_Week,Projects_Handled,Training_Score,Remote_Work,Productivity_Score,Department_finance,Department_hr,Department_sales,Department_support,Department_tech
0.6829030986897323,0.5092802247797333,0.19361917536414036,0.47647451309755423,0.5034740720227682,0,40.65520803125104,0.0,0.0,0.0,0.0,1.0
0.7714245434420811,0.687746384490208,0.04151274245370462,0.21754228781380652,0.6067675996163588,1,43.90447317722965,1.0,0.0,0.0,0.0,0.0
0.0436546222872459,0.0,0.19030409285830546,0.25212763483135564,0.7332269472355413,0,33.40487780915581,0.0,0.0,0.0,0.0,1.0
0.24884424705150657,0.2411226788154932,0.1461708219033092,0.24588775935556334,0.27386081270604606,0,24.37778605860988,0.0,0.0,0.0,1.0,0.0
0.5172051084009439,0.6141701170373661,0.1447564554091249,0.2829618805244232,0.4383019940594934,0,22.413580116072797,1.0,0.0,0.0,0.0,0.0
0.5419724677739916,0.6568116273214493,0.2341071422481515,0.24063609810719463,0.3544345311477752,0,31.002414431785283,1.0,0.0,0.0,0.0,0.0
0.2411646851235126,0.24087388230955373,0.09773072180228967,0.36413773438213304,0.47838373737026135,0,24.715986685460365,0.0,0.0,0.0,1.0,0.0
0.4591871840678773,0.4025470513025769,0.1706140937643419,0.2092569104293308,0.6099842506832474,0,22.3227511270642,0.0,1.0,0.0,0.0,0.0
0.6738391405097489,0.545857385628825,0.2191130699364396,0.3099552931329552,0.5276525297831673,0,34.63500926570076,0.0,1.0,0.0,0.0,0.0
0.5065193657004857,0.21842740100516997,0.09800293391726289,0.18564785157490882,0.3468901818956456,1,15.50051747728355,0.0,0.0,1.0,0.0,0.0
0.5434370758025483,0.3919485938060435,0.23366701925538258,0.34916115039549966,0.7961021967425006,1,29.07175243094216,0.0,0.0,1.0,0.0,0.0
0.4232317320889737,0.7457854144850705,0.1806231130212005,0.6275802153294281,0.4932750759371595,0,24.66602979816316,0.0,0.0,0.0,0.0,1.0
0.22538799275473245,0.09449406644198736,0.08001068566159758,0.3709610143507161,0.3878732759199987,0,29.602256036669655,0.0,1.0,0.0,0.0,0.0
0.4329126712680672,0.29631761107563404,0.20983348206590757,0.1384214690653058,0.684936929570096,0,38.00291029645756,0.0,0.0,0.0,0.0,1.0
0.4304307456456409,0.45035333321600685,0.043183309039313444,0.5183061137862309,0.7792412047230135,1,47.550523060009,0.0,1.0,0.0,0.0,0.0
0.4324325941104892,0.653998508056945,0.11846384366662749,0.21264384445400983,0.5148782146888125,0,24.370981913008137,0.0,0.0,1.0,0.0,0.0
0.3254125496818301,0.15949098809275408,0.13739600043485672,0.3535218328351405,0.43342144782311604,0,33.70224266497824,0.0,0.0,0.0,1.0,0.0
0.2339479279263922,0.048647072049911616,0.1496608783434924,0.4047940267122287,0.5998535801287168,0,27.27365710960679,0.0,0.0,0.0,0.0,1.0
0.28964146643134114,0.34838777029091705,0.13164742018941095,0.14765647125043363,0.7633152997638255,0,35.95271447481635,1.0,0.0,0.0,0.0,0.0
0.35969342282298733,0.18795282836539068,0.2365933600473754,0.27480060730530687,0.25592811443897573,0,19.85051386563485,0.0,1.0,0.0,0.0,0.0
0.22794082481730257,0.0,0.1645155017247813,0.33496339741043407,0.3649574750316009,0,20.87096015593866,0.0,0.0,0.0,0.0,1.0
0.22233836949109817,0.2374394019583771,0.282437100071835,0.4468638185069893,0.36058697786895816,1,39.52496974067126,0.0,1.0,0.0,0.0,0.0
0.28684217261896305,0.15867979954387731,0.07536645127891575,0.604570085100553,0.38512500260083665,1,36.36808561705594,1.0,0.0,0.0,0.0,0.0
0.4145701051992079,0.19030959977184933,0.21125773198896663,0.5291063174720061,0.5050482681224764,0,24.02424683247235,0.0,1.0,0.0,0.0,0.0
0.154987967851314,0.04260433333398272,0.13610785366595402,0.29701832530339006,0.3380737238859118,0,26.6251451417164,0.0,0.0,1.0,0.0,0.0
0.5185735399368907,0.5773502865021415,0.10367568973331168,0.2570543482015323,0.3196911015797405,0,28.399444276683024,0.0,0.0,0.0,1.0,0.0
